name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
tin oxide,SnO,g,SN  1.00O   1.00    0.00    0.00    0.00,0,134.7094,21911.054,200,1000,8874.107,25477.88022,-229.3583066,3.42159353,0.0047133,-7.37E-06,5.38E-09,-1.52E-12,2853.047679,6.67396527,1
tin oxide,SnO2,g,SN  1.00O   2.00    0.00    0.00    0.00,0,150.7088,11680.18,200,1000,11795.68,47076.7408,-611.456867,6.11743391,0.007514015,-1.24E-05,9.22E-09,-2.63E-12,2981.068066,-8.14492641,1
tin sulfide,SnS,g,SN  1.00S   1.00    0.00    0.00    0.00,0,150.776,111099.012,200,1000,9301.112,27248.77813,-492.412638,6.22165473,-0.003409407,3.98E-06,-2.47E-09,6.34E-13,14524.95307,-6.79127528,1
tin sulfide,SnS2,g,SN  1.00S   2.00    0.00    0.00    0.00,0,182.842,149645.595,200,1000,13635.095,38771.4541,-848.695394,10.4208399,-0.005686903,6.37E-06,-3.83E-09,9.50E-13,20060.27952,-27.23723128,1
ditin,Sn2,g,SN  2.00    0.00    0.00    0.00    0.00,0,237.42,421343.737,200,1000,11373.137,-132966.6654,1639.179787,-1.902868972,0.012904317,-1.12E-05,4.50E-09,-6.06E-13,40974.5271,44.3540803,1
strontium,Sr,g,SR  1.00    0.00    0.00    0.00    0.00,0,87.62,160500,200,1000,6197.428,4.19064984,-0.063044376,2.500373027,-1.12E-06,1.79E-09,-1.46E-12,4.75E-16,18558.52648,5.55577284,1
strontium bromide,SrBr,g,SR  1.00BR  1.00    0.00    0.00    0.00,0,167.524,-63917.691,200,1000,10107.109,-754.9771,-73.5952795,4.82803027,-0.000716058,1.03E-06,-6.89E-10,1.88E-13,-8686.16848,4.15114661,1
strontium bromide,SrBr2,g,SR  1.00BR  2.00    0.00    0.00    0.00,0,247.428,-406725.851,200,1000,16334.649,-4632.45866,-72.4493864,7.80021716,-0.000677213,8.54E-07,-5.63E-10,1.51E-13,-50822.3833,-5.28507476,1
strontium chloride,SrCl,g,SR  1.00CL  1.00    0.00    0.00    0.00,0,123.0727,-127867.894,200,1000,9800.106,3555.35271,-172.938505,5.21344556,-0.001542911,2.03E-06,-1.33E-09,3.55E-13,-15882.88079,0.481805778,1
strontium chloride,SrCl2,g,SR  1.00CL  2.00    0.00    0.00    0.00,0,158.5254,-484813.902,200,1000,14416.098,1913.170011,-268.1156951,8.0813343,-0.002393329,2.98E-06,-1.94E-09,5.17E-13,-59101.1185,-8.45783322,1
strontium fluoride,SrF,g,SR  1.00F   1.00    0.00    0.00    0.00,0,106.6184032,-303552.8,200,1000,9283.1,27250.04888,-485.001327,6.1126895,-0.003008465,3.37E-06,-1.99E-09,4.88E-13,-35368.9069,-6.68372922,1
strontium fluoride,SrF2,g,SR  1.00F   2.00    0.00    0.00    0.00,0,125.6168064,-784793.795,200,1000,13269.601,41707.5965,-850.013241,10.02806064,-0.006098485,7.06E-06,-4.36E-09,1.11E-12,-92178.5985,-23.25100053,1
strontium hydride,SrH,g,SR  1.00H   1.00    0.00    0.00    0.00,0,88.62794,219227.105,200,1000,8723.105,-43177.9689,767.64297,-1.594398638,0.015007111,-1.83E-05,1.14E-08,-2.86E-12,21796.85693,33.2467423,1
strontium iodide,SrI,g,SR  1.00I   1.00    0.00    0.00    0.00,0,214.52447,-7851.676,200,1000,10283.124,-2467.498501,-25.35495809,4.60329848,-0.000161368,2.69E-07,-1.56E-10,3.83E-14,-2175.538291,6.41148188,1
strontium iodide,SrI2,g,SR  1.00I   2.00    0.00    0.00    0.00,0,341.42894,-278218.842,200,1000,16701.658,-4391.84969,-37.5726735,7.6569935,-0.000356172,4.51E-07,-2.98E-10,8.02E-14,-35533.0346,-2.598281578,1
strontium oxide,SrO,g,SR  1.00O   1.00    0.00    0.00    0.00,0,103.6194,-14207.691,200,1000,9040.109,42248.9167,-591.351787,5.964363,-0.002105713,2.03E-06,-1.20E-09,3.47E-13,101.8053721,-7.51142747,1
strontium hydroxide,SrOH,g,SR  1.00O   1.00H   1.00    0.00    0.00,0,104.62734,-194085.726,200,1000,11046.666,46400.0656,-993.868554,9.78494896,-0.005774378,5.13E-06,-1.83E-09,1.93E-13,-20227.21196,-27.40670981,1
Sr(OH)2,SrO2H2,g,SR  1.00O   2.00H   2.00    0.00    0.00,0,121.63468,-596694.573,200,1000,17011.921,72050.903,-1789.465226,17.29429139,-0.011692808,1.11E-05,-4.49E-09,6.60E-13,-66053.9404,-63.8868122,1
strontium sulfide,SrS,g,SR  1.00S   1.00    0.00    0.00    0.00,0,119.686,104351.315,200,1000,9536.115,12564.40807,-315.0436559,5.72172251,-0.00263048,3.38E-06,-2.30E-09,6.51E-13,12772.9516,-3.69386241,1
distrontium,Sr2,g,SR  2.00    0.00    0.00    0.00    0.00,0,175.24,307570.337,200,1000,11365.137,-110885.9753,592.760401,8.43968855,-0.026528011,4.44E-05,-3.40E-08,9.97E-12,31576.15033,-7.03396665,1
tantalum,Ta,g,TA  1.00    0.00    0.00    0.00    0.00,0,180.9479,782518.638,200,1000,6199.638,-11509.07339,47.8073043,3.18558839,-0.005366528,1.29E-05,-1.05E-08,3.05E-12,92997.9763,5.33605661,1
tantalum chloride,TaCl5,g,TA  1.00CL  5.00    0.00    0.00    0.00,0,358.2114,-764835,200,1000,26869.1,63064.8329,-1771.221442,22.55083356,-0.01360238,1.61E-05,-1.02E-08,2.63E-12,-87927.3711,-80.9786491,1
tantalum oxide,TaO,g,TA  1.00O   1.00    0.00    0.00    0.00,0,196.9473,192468.826,300,1000,0,0,0,2.9340108,0.003059204,-1.94E-06,1.63E-10,3.02E-13,22154.472,11.454646,1
tantalum oxide,TaO2,g,TA  1.00O   2.00    0.00    0.00    0.00,0,212.9467,-200835.093,300,1000,0,0,0,3.1803826,0.009470281,-8.73E-06,2.45E-09,3.37E-13,-25451.762,13.130353,1
titanium,Ti,g,TI  1.00    0.00    0.00    0.00    0.00,0,47.867,473000,200,1000,7539.141,-45701.794,660.809202,0.429525749,0.00361503,-3.55E-06,1.76E-09,-3.05E-13,52709.4793,20.26149738,1
titanium chloride,TiCl,g,TI  1.00CL  1.00    0.00    0.00    0.00,0,83.3197,154393.163,300,1000,0,0,0,2.8543089,0.007959335,-9.82E-06,5.24E-09,-9.80E-13,17441.216,11.7299906,1
