Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
potassium hydride,KH,g,K   1.00H   1.00    0.00    0.00    0.00,0,40.10624,123012.034,1000,5000,0,0,0,3.9603386,0.000721903,-2.69E-07,5.26E-11,-3.79E-15,13501.837,0.855345083,1
potassium oxide,KO,g,K   1.00O   1.00    0.00    0.00    0.00,0,55.0977,71131.606,1000,5000,0,0,0,4.4244778,0.000199362,-3.71E-08,7.13E-12,-5.04E-16,7205.2331,3.30766849,1
potassium hydroxide,KOH,g,K   1.00O   1.00H   1.00    0.00    0.00,0,56.10564,-232000,1000,6000,11674.65,891727.195,-2334.179072,7.97257871,0.000103886,-6.32E-08,1.03E-11,-5.74E-16,-14436.96469,-20.76401416,1
dipotassium,K2,g,K   2.00    0.00    0.00    0.00    0.00,0,78.1966,123672.129,1000,6000,10738.129,-4205896.42,11705.7091,-5.49238023,0.002862953,-5.70E-07,5.95E-11,-2.54E-15,-62729.1963,80.5517432,1
potassium dicarbide dinitride,K2C2N2,g,K   2.00C   2.00N   2.00    0.00    0.00,0,130.23148,-8365.237,1000,5000,0,0,0,12.625754,0.0034124,-1.40E-06,2.62E-10,-1.82E-14,-4975.3614,-28.15390492,1
potassium chloride,K2Cl2,g,K   2.00CL  2.00    0.00    0.00    0.00,0,149.102,-617657.012,1000,5000,0,0,0,9.9041069,0.000111797,-5.04E-08,9.99E-12,-7.27E-16,-77272.33,-14.090282,1
potassium fluoride,K2F2,g,K   2.00F   2.00    0.00    0.00    0.00,0,116.1934064,-862757.408,1000,5000,0,0,0,9.8148096,0.000204531,-8.71E-08,1.63E-11,-1.13E-15,-106759.87,-17.641803,1
potassium dioxide dihydride,K2O2H2,g,K   2.00O   2.00H   2.00    0.00    0.00,0,112.21128,-641000,1000,6000,22384.933,1773523.196,-4665.29247,16.94308128,0.00020853,-1.26E-07,2.06E-11,-1.15E-15,-50512.6331,-63.3477392,1
potassium sulfate,K2SO4,g,K   2.00S   1.00O   4.00    0.00    0.00,0,174.2602,-1094144.144,1000,5000,0,0,0,15.374108,0.004105614,-1.81E-06,3.55E-10,-2.56E-14,-136953.29,-46.1438154,1
krypton,Kr,g,KR  1.00    0.00    0.00    0.00    0.00,0,83.8,0,1000,6000,6197.428,264.3639057,-0.791005082,2.500920585,-5.33E-07,1.62E-10,-2.47E-14,1.48E-18,-740.348894,5.48439815,1
lithium,Li,g,LI  1.00    0.00    0.00    0.00    0.00,0,6.941,159300,1000,6000,6197.428,1125610.652,-3463.53673,6.56661192,-0.002260983,5.92E-07,-6.28E-11,2.88E-15,40346.374,-26.55918195,1
lithium aluminum tetrafluoride,LiAlF4,g,LI  1.00AL  1.00F   4.00    0.00    0.00,0,109.9161508,-1853531.697,1000,5000,0,0,0,14.037742,0.002248264,-1.00E-06,1.97E-10,-1.42E-14,-227627.57,-42.36014801,1
lithium borate,LiBO2,g,LI  1.00B   1.00O   2.00    0.00    0.00,0,49.7508,-646856.749,1000,5000,0,0,0,7.4266096,0.002704376,-1.13E-06,2.11E-10,-1.46E-14,-80370.285,-10.6007918,1
lithium chloride,LiCl,g,LI  1.00CL  1.00    0.00    0.00    0.00,0,42.3937,-195712.165,1000,5000,0,0,0,4.2712143,0.000314003,-1.01E-07,1.85E-11,-1.24E-15,-24884.442,1.04172158,1
lithium fluoride,LiF,g,LI  1.00F   1.00    0.00    0.00    0.00,0,25.9394032,-340794.847,1000,5000,0,0,0,4.0430248,0.000570411,-2.15E-07,4.06E-11,-2.84E-15,-42299.318,0.697695467,1
lithium monofluoride monoxide,LiFO,g,LI  1.00F   1.00O   1.00    0.00    0.00,0,41.9388032,-92041.76,1000,5000,0,0,0,5.9926109,0.00111392,-4.79E-07,9.11E-11,-6.38E-15,-13100.989,-5.33660329,1
lithium hydride,LiH,g,LI  1.00H   1.00    0.00    0.00    0.00,0,7.94894,140625.945,1000,5000,0,0,0,3.5884297,0.001072769,-4.02E-07,7.38E-11,-4.93E-15,15717.625,-0.375038965,1
lithium nitride,LiN,g,LI  1.00N   1.00    0.00    0.00    0.00,0,20.94774,334730.691,1000,5000,0,0,0,4.2258077,0.000396672,-1.25E-07,2.32E-11,-1.59E-15,38916.952,0.700851481,1
lithium oxide,LiO,g,LI  1.00O   1.00    0.00    0.00    0.00,0,22.9404,84098.28,1000,5000,0,0,0,4.1876205,0.000411866,-1.45E-07,2.73E-11,-1.89E-15,8779.5259,1.23142599,1
lithium hydroxide,LiOH,g,LI  1.00O   1.00H   1.00    0.00    0.00,0,23.94834,-229000,1000,6000,11336.961,850066.921,-2430.51974,8.05529381,6.90E-05,-5.53E-08,9.37E-12,-5.31E-16,-13659.08112,-24.5758293,1
lithium monoxide mononitride,LiON,g,LI  1.00O   1.00N   1.00    0.00    0.00,0,36.94714,179918.898,1000,5000,0,0,0,5.8123496,0.001287063,-5.47E-07,1.03E-10,-7.19E-15,19692.302,-4.34470559,1
dilithium,Li2,g,LI  2.00    0.00    0.00    0.00    0.00,0,13.882,215900,1000,6000,9675.116,37676452.5,-118574.713,148.216774,-0.083785319,2.42E-05,-3.28E-09,1.65E-13,772307.166,-1021.69726,1
lithium chloride,Li2Cl2,g,LI  2.00CL  2.00    0.00    0.00    0.00,0,84.7874,-598521.423,1000,5000,0,0,0,9.5245614,0.000524588,-2.23E-07,4.20E-11,-2.90E-15,-74990.263,-20.0316716,1
lithium fluoride,Li2F2,g,LI  2.00F   2.00    0.00    0.00    0.00,0,51.8788064,-942791.003,1000,5000,0,0,0,8.9566636,0.001171927,-5.10E-07,9.79E-11,-6.92E-15,-116372.28,-20.8863312,1
lithium oxide,Li2O,g,LI  2.00O   1.00    0.00    0.00    0.00,0,29.8814,-166935.467,1000,5000,0,0,0,6.6198748,0.000968794,-4.15E-07,7.86E-11,-5.50E-15,-22255.325,-10.821559,1
lithium oxide,Li2O2,g,LI  2.00O   2.00    0.00    0.00    0.00,0,45.8808,-242656.425,1000,5000,0,0,0,9.527526,0.00053021,-2.30E-07,4.40E-11,-3.10E-15,-32182.484,-21.859112,1
